word_public_id,word_id,word,meaning_en,status,existing_size_bytes
HSK1-W-0140,W00153,比,to compare,placeholder_or_tiny,46
HSK1-W-0141,W00154,别,do not,placeholder_or_tiny,46
HSK1-W-0144,W00159,穿,to wear,placeholder_or_tiny,46
HSK1-W-0145,W00160,次,time (occurrence),placeholder_or_tiny,46
HSK1-W-0146,W00161,从,from,placeholder_or_tiny,46
HSK1-W-0151,W00171,对,correct,placeholder_or_tiny,46
HSK1-W-0152,W00172,房间,room,placeholder_or_tiny,46
HSK1-W-0153,W00173,非常,very,placeholder_or_tiny,46
HSK1-W-0155,W00176,告诉,to tell,placeholder_or_tiny,46
HSK1-W-0159,W00182,过,to pass,placeholder_or_tiny,46
